ID	cell_001	cell_002	cell_003	cell_004	cell_005	cell_006	cell_007	cell_008	cell_009	cell_010	cell_011	cell_012	cell_013	cell_014	cell_015	cell_016	cell_017	cell_018	cell_019	cell_020	cell_021	cell_022	cell_023	cell_024	cell_025	cell_026	cell_027	cell_028	cell_029	cell_030	cell_031	cell_032	cell_033	cell_034	cell_035	cell_036	cell_037	cell_038	cell_039	cell_040	cell_041	cell_042	cell_043	cell_044	cell_045	cell_046	cell_047	cell_048	cell_049	cell_050	cell_051	cell_052	cell_053	cell_054	cell_055	cell_056	cell_057	cell_058	cell_059	cell_060	cell_061	cell_062	cell_063	cell_064	cell_065	cell_066	cell_067	cell_068	cell_069	cell_070	cell_071	cell_072	cell_073	cell_074	cell_075	cell_076	cell_077	cell_078	cell_079	cell_080	cell_081	cell_082	cell_083	cell_084	cell_085	cell_086	cell_087	cell_088	cell_089	cell_090	cell_091	cell_092	cell_093	cell_094	cell_095	cell_096	cell_097
2-R phox2bb  CH4	1932	467	1403	342	1545	1438	2814	826	1717	357	2222	500	1822	1921	1355	1977	599	1004	1105	1016	1597	678	752	821	1440	622	422	756	769	1074	570	358	1978	512	362	737	842	1718	2495	1225	2430	1246	1054	2022	1465	1189	1684	717	747	1033	522	1130	2731	2342	1096	1514	1673	1017	855	853	2191	1325	694	2441	923	596	966	716	1209	957	1214	675	1471	1940	1683	1247	1727	1487	1784	2307	1040	1305	2643	1175	2902	2458	2380	1802	1001	561	2900	230	1924	2719	1056	185	199
2-R etv1 CH5	2204	849	2418	642	2026	2859	3088	1154	3340	444	1552	654	603	2469	3446	2463	993	1717	1494	2002	871	1346	1322	1204	335	821	634	1043	1242	1629	629	608	2152	871	676	1104	634	2431	2664	1559	2344	1883	1269	1869	2251	1845	2442	1434	970	1558	1013	1320	1939	2113	1023	1035	1575	2720	893	1099	1216	809	1091	1751	1424	753	1095	893	1031	788	1019	974	1497	1401	901	2171	1275	1914	2121	2271	774	1610	2517	1068	1612	1169	2319	1846	1340	805	3701	223	2038	2559	1664	315	215
2-R oprd1b CH6	137	95	129	121	149	159	180	162	188	124	169	118	127	247	200	152	117	155	92	147	131	147	167	179	152	156	94	135	168	204	83	111	109	74	104	128	107	185	135	136	253	173	129	195	258	144	476	108	105	119	117	118	108	132	177	108	199	120	103	149	145	103	133	223	106	93	150	100	105	130	117	104	211	150	109	144	125	168	187	262	187	149	194	109	199	142	107	107	124	100	181	48	137	209	130	61	65
1-R vipb CH1	2998	577	1004	232	1647	1401	2790	392	1217	402	1035	328	398	1175	602	2103	289	566	1112	390	358	960	517	717	356	472	271	608	424	442	675	357	386	226	217	385	4095	2359	645	2655	4095	863	617	1115	461	1155	488	357	726	1892	475	531	629	1273	396	373	1326	352	255	314	420	277	419	456	358	257	1091	237	379	302	353	330	635	691	436	765	480	920	567	1400	480	653	1384	357	476	471	1610	1614	310	289	1239	227	1826	681	925	210	268
1-R nos1 CH2	586	348	635	148	867	1032	563	252	738	197	499	218	251	1359	295	1348	182	390	851	286	191	773	412	487	218	425	145	398	227	224	421	198	277	123	239	332	339	284	314	345	274	875	505	1111	341	787	1090	400	200	454	349	383	633	1371	211	311	903	293	210	168	870	594	194	989	250	189	633	210	191	315	185	226	695	753	237	648	383	1550	775	1221	435	226	1154	353	280	638	1228	815	183	163	1212	103	1049	707	571	123	153
1-R ret  CH3	204	193	225	103	273	254	309	230	325	133	171	186	208	277	221	277	154	177	135	145	170	254	229	299	299	161	109	199	238	176	159	144	162	83	138	192	213	228	257	325	261	377	230	319	430	211	426	186	268	244	251	275	210	336	198	317	316	238	219	210	344	276	258	620	167	121	317	115	238	157	341	172	267	444	139	205	183	346	200	210	250	190	366	140	256	338	255	201	102	103	338	39	297	159	172	54	79
3-R hoxa4a CH7	1338	288	1287	289	1332	1616	1226	1385	853	1529	1347	255	944	1157	1759	1043	463	759	602	782	942	439	569	656	374	318	249	306	367	351	200	279	1692	517	281	529	1620	1248	1859	1165	3933	1331	568	1154	971	1019	1209	745	388	801	338	825	591	230	898	0	911	0	414	364	1950	492	0	2116	0	338	415	473	0	953	483	546	1443	1041	0	643	1410	1682	957	1062	809	948	1016	704	0	0	1120	640	350	431	1332	146	1136	1529	923	270	238
3-R hoxb5b CH8	833	354	1252	514	1096	1546	1553	877	1286	943	1100	409	944	1269	1681	1617	632	728	618	647	717	506	729	788	1425	450	332	459	492	957	248	332	785	1140	378	700	1071	1695	1240	1414	1391	1244	956	1473	1105	935	1245	895	354	1048	470	678	764	383	707	0	876	0	406	393	961	239	0	1851	0	448	458	677	0	641	288	389	571	1531	0	848	879	1552	1039	1216	863	795	701	859	0	0	954	576	615	1331	1159	293	1782	1199	1085	435	195
3-R hoxa5a CH9	100	98	180	157	162	314	292	217	354	182	177	231	267	344	278	266	301	185	117	212	219	246	493	438	288	262	142	212	288	368	101	179	117	91	181	199	143	187	195	223	220	196	159	226	325	188	231	134	175	152	165	167	166	58	210	0	183	0	150	118	311	146	0	305	0	130	125	136	0	236	114	263	191	244	0	241	166	250	254	233	221	191	193	284	0	0	150	98	222	123	212	43	156	272	257	97	73
4-R calb2a CH10	602	178	503	183	351	588	565	356	515	312	761	245	323	814	443	344	247	355	636	334	348	320	337	396	312	351	206	329	351	344	256	272	550	208	205	374	415	582	558	516	519	299	286	329	403	338	393	359	273	381	298	247	579	629	279	611	448	454	258	315	485	294	552	415	390	251	240	233	445	274	292	286	393	420	622	360	380	340	316	318	392	398	698	329	401	423	310	255	377	283	696	182	346	636	530	173	180
