ID	Position X	Position Y	Position Z
cell_001	744.132	55.627	49.986
cell_002	752.177	58.398	44.288
cell_003	723.738	86.61	54.439
cell_004	755.829	59.091	61.982
cell_005	744.475	60.404	37.156
cell_006	755.232	66.312	33.314
cell_007	752.448	66.003	67.669
cell_008	719.297	77.094	68.371
cell_009	715.469	83.419	50.986
cell_010	721.33	78.144	36.507
cell_011	724.943	65.678	36.187
cell_012	731.753	55.581	72.662
cell_013	720.484	64.803	74.29
cell_014	679.727	76.305	55.084
cell_015	695.507	64.801	76.039
cell_016	704.295	50.516	55.22
cell_017	691.044	57.433	78.091
cell_018	671.06	74.21	58.143
cell_019	658.627	73.845	53.603
cell_020	654.888	71.525	65.359
cell_021	659.384	62.117	76.935
cell_022	643.709	56.688	78.629
cell_023	622.722	72.305	63.749
cell_024	625.803	65.395	76.996
cell_025	622.08	53.576	78.686
cell_026	609.023	58.436	80.968
cell_027	619.723	64.335	78.925
cell_028	604.769	53.347	49.637
cell_029	593.721	59.561	81.968
cell_030	574.196	73.707	72.482
cell_031	585.051	61.918	81.931
cell_032	574.947	66.618	80.205
cell_033	551.717	79.704	71.036
cell_034	548.101	82.818	61.047
cell_035	546.254	77.664	74.974
cell_036	532.653	80.57	65.036
cell_037	546.886	71.244	81.401
cell_038	526.528	78.658	71.751
cell_039	552.81	56.078	41.561
cell_040	536.123	70.016	83.364
cell_041	541.479	53.564	78.889
cell_042	521.986	78.179	50.985
cell_043	516.175	73.047	82.315
cell_044	528.587	56.192	49.604
cell_045	524.952	53.592	77.008
cell_046	488.158	81.789	70.701
cell_047	480.042	77.977	77.579
cell_048	474.658	80.986	62.932
cell_049	504.701	50.746	64.578
cell_050	484.3	72.254	83.117
cell_051	499.25	50.499	67.342
cell_052	468.149	81.285	61.131
cell_053	491.312	61.752	84.168
cell_054	474.267	71.156	84.401
cell_055	449.013	74.389	86.836
cell_056	468.299	63.595	86.587
cell_057	433.984	79.452	66.567
cell_058	451.775	61.394	89.628
cell_059	463.174	53.538	78.975
cell_060	441.297	74.365	86.747
cell_061	459.434	57.306	51.032
cell_062	430.554	82.262	54.469
cell_063	441.065	67.138	89.757
cell_064	442.163	57.291	85.692
cell_065	448.432	54.249	51.402
cell_066	415.27	76.463	87.053
cell_067	428.367	61.769	89.014
cell_068	397.056	78.508	87.055
cell_069	396.082	76.731	64.737
cell_070	380.724	81.093	70.892
cell_071	410.045	68.478	90.155
cell_072	398.983	58.863	88.018
cell_073	390.391	56.93	86.844
cell_074	372.184	72.726	81.345
cell_075	344.952	81.916	69.252
cell_076	363.438	58.441	89.845
cell_077	354.78	59.331	91.682
cell_078	340.43	55.724	89.66
cell_079	343.731	67.368	91.715
cell_080	329.562	61.68	91.245
cell_081	309.536	75.473	88.622
cell_082	287.791	79.618	81.389
cell_083	322.915	50.421	83.597
cell_084	311.363	71.386	92.952
cell_085	300.625	62.39	93.372
cell_086	289.576	57.654	94.225
cell_087	289.824	48.156	81.649
cell_088	277.659	58.307	93.294
cell_089	271.557	48.529	84.29
cell_090	261.19	72.657	79.003
cell_091	234.594	65.5	91.103
cell_092	233.086	57.674	93.219
cell_093	250.867	51.025	90.554
cell_094	172.271	66.428	79.171
cell_095	161.02	52.018	94.639
cell_096	176.161	52.805	92.771
cell_097	185.429	49.168	93.489
cell_098	92.858	59.385	78.926
cell_099	381.752	62.948	90.307
cell_100	528.102	64.127	82.441
cell_101	522.443	67.656	82.51
cell_102	555.491	65.787	82.297
cell_103	547.481	63.901	82.981
cell_104	667.066	56.993	78.323
cell_105	741.896	66.62	72.053
cell_106	741.959	60.207	70.329
cell_107	706.569	81.79	54.23
cell_108	704.778	75.799	69.294
cell_109	717.604	52.342	74.69
cell_110	709.921	52.33	77.3
