ID	cell_001	cell_002	cell_003	cell_004	cell_005	cell_006	cell_007	cell_008	cell_009	cell_010	cell_011	cell_012	cell_013	cell_014	cell_015	cell_016	cell_017	cell_018	cell_019	cell_020	cell_021	cell_022	cell_023	cell_024	cell_025	cell_026	cell_027	cell_028	cell_029	cell_030	cell_031	cell_032	cell_033	cell_034	cell_035	cell_036	cell_037	cell_038	cell_039	cell_040	cell_041	cell_042	cell_043	cell_044	cell_045	cell_046	cell_047	cell_048	cell_049	cell_050	cell_051	cell_052	cell_053	cell_054	cell_055	cell_056	cell_057	cell_058	cell_059	cell_060	cell_061	cell_062	cell_063	cell_064	cell_065	cell_066	cell_067	cell_068	cell_069	cell_070	cell_071	cell_072	cell_073	cell_074	cell_075	cell_076	cell_077	cell_078	cell_079	cell_080	cell_081	cell_082	cell_083	cell_084	cell_085	cell_086	cell_087	cell_088	cell_089	cell_090	cell_091	cell_092	cell_093	cell_094	cell_095	cell_096	cell_097	cell_098	cell_099	cell_100	cell_101	cell_102	cell_103	cell_104	cell_105	cell_106	cell_107	cell_108	cell_109	cell_110
2-R phox2bb  CH4	2134	2047	3293	2479	2033	2274	1778	3476	2255	1476	1774	2306	2557	1884	1961	1171	1896	1597	905	1535	2910	1061	3050	1822	1475	1425	1986	309	1828	1848	2157	1971	3644	1063	2853	1323	2087	1550	1070	1887	1499	366	2055	514	675	1801	1998	1010	761	2103	1064	1416	1766	3646	2271	3790	389	1339	1742	1594	1217	980	2730	1764	748	4013	2100	1357	345	1377	4095	905	1337	641	670	1175	1692	1087	2216	1844	979	1278	1556	1352	1500	1173	870	1516	2137	443	1683	1077	1194	299	1061	1356	1445	377	2470	3115	2889	3179	1981	2873	2736	2969	2925	3022	2703	1346
2-R etv1 CH5	358	294	209	439	261	407	325	545	366	308	296	484	429	447	413	311	597	424	335	553	449	329	437	424	218	445	505	174	350	405	534	768	766	231	708	509	515	719	227	284	198	176	219	168	431	688	273	315	364	403	321	349	427	657	347	587	170	208	414	567	302	266	370	459	234	572	221	195	176	184	262	298	343	204	404	303	365	593	632	463	457	344	385	500	595	261	322	451	487	344	224	443	386	208	320	404	626	219	582	511	492	558	601	470	312	496	411	532	329	322
2-R oprd1b CH6	132	93	128	153	126	108	134	141	117	147	128	128	123	148	145	108	128	149	138	165	132	130	187	103	97	148	235	197	139	197	178	216	252	156	247	159	179	262	161	132	120	155	119	165	224	219	165	149	135	199	151	151	160	143	183	141	279	106	146	204	132	180	173	204	127	200	146	140	243	149	143	119	151	286	182	149	113	178	134	292	155	206	121	173	208	103	155	191	185	330	143	177	198	146	127	203	172	195	187	191	432	123	204	114	117	120	148	121	110	92
1-R vipb CH1	462	376	448	411	340	415	501	468	492	309	303	553	1333	473	1860	298	1639	516	432	406	916	309	590	659	305	1965	608	3009	1851	573	2409	2476	1485	552	1693	2578	1774	4022	775	606	418	478	484	511	363	468	405	1562	1798	439	1020	1540	576	2288	2802	3024	446	461	3446	483	1809	1404	530	1626	1403	851	784	411	410	431	692	375	1066	442	467	619	392	1129	1005	1136	346	2108	311	357	581	342	346	499	1312	302	392	504	2319	281	291	648	341	294	2103	1403	1123	487	530	1049	516	515	540	798	381	343
1-R nos1 CH2	372	543	201	425	416	431	480	642	673	299	298	415	648	289	1392	181	851	332	262	393	896	182	467	233	240	1157	275	193	561	398	635	1570	1226	305	1703	735	1458	666	462	284	192	245	209	215	174	574	191	1045	959	221	511	723	403	2033	304	3395	228	243	1284	531	878	539	323	1788	899	598	498	248	304	291	707	236	266	244	264	220	207	796	513	820	175	869	175	298	306	176	168	275	1113	209	224	373	1260	167	149	357	181	197	1797	878	610	321	234	670	350	729	794	667	322	407
1-R ret  CH3	445	404	511	475	393	525	348	410	699	287	365	413	386	273	310	337	368	278	182	257	504	150	277	128	216	380	187	395	498	354	352	402	621	339	721	793	588	608	509	306	358	208	252	530	339	339	128	254	513	319	251	322	235	232	589	414	401	231	723	311	695	706	597	1027	878	1081	448	373	344	443	673	1104	392	579	215	348	245	457	449	810	166	433	178	197	222	178	593	258	593	376	396	175	532	143	257	226	165	140	493	331	709	431	302	345	300	634	438	428	347	162
3-R hoxa4a CH7	1827	1468	1726	2268	1210	1095	2105	950	2107	480	339	913	1358	342	856	1084	827	1450	372	552	1106	398	758	549	585	1533	756	373	1897	765	1464	1559	606	554	1160	996	1780	662	412	1580	1046	341	571	476	658	914	492	368	404	1763	492	515	1688	2094	1636	870	1184	646	1049	1710	336	327	1620	1047	387	2946	737	470	409	678	1653	704	973	650	549	1771	1291	1120	2142	1167	359	520	1154	775	1102	776	546	1642	1165	338	482	2596	854	237	508	471	1174	248	1780	1323	1397	1482	1900	1001	522	1876	1333	828	1515	636
3-R hoxb5b CH8	224	269	184	254	152	149	292	217	271	120	147	195	327	261	256	159	265	224	158	293	268	221	299	160	226	210	268	131	284	244	345	319	258	195	319	286	315	184	179	235	249	130	188	114	201	226	183	149	194	289	196	215	271	340	296	473	128	226	185	256	169	171	328	260	200	567	359	184	135	174	322	209	246	191	161	223	523	187	306	275	221	158	175	197	205	177	223	235	234	127	169	192	229	111	154	190	150	115	264	231	280	308	237	267	134	237	353	332	242	241
3-R hoxa5a CH9	149	136	83	129	106	98	81	117	110	122	74	106	98	129	105	136	94	154	128	169	108	81	170	81	85	100	90	84	106	147	106	123	154	130	121	130	129	115	106	94	91	97	111	90	108	139	143	81	109	115	88	94	110	109	102	97	104	94	99	109	86	118	123	111	92	123	102	102	124	113	109	109	148	100	122	117	112	113	115	112	115	128	89	117	100	99	130	119	109	117	140	119	134	80	84	102	105	89	113	102	111	96	97	106	70	146	122	109	111	116
4-R calb2a CH10	497	535	793	2472	422	439	2964	684	457	318	356	461	545	450	553	266	688	567	413	558	972	307	659	800	317	507	804	302	970	440	873	1682	598	402	535	418	628	378	248	806	517	270	506	240	298	438	351	259	241	493	256	293	536	706	670	616	350	712	396	464	249	350	576	472	236	1024	562	402	827	665	583	849	813	549	870	472	441	545	1510	663	1419	332	594	1299	548	492	1790	1084	370	274	371	1484	483	322	400	428	348	306	937	671	554	513	765	580	328	723	872	552	602	323
