ID	Position X	Position Y	Position Z
cell_001	472.893	138.547	78.956
cell_002	491.115	143.109	81.773
cell_003	500.685	142.544	83.031
cell_004	512.915	148.809	85.923
cell_005	544.207	148.157	86.627
cell_006	559.445	147.583	81.739
cell_007	568.608	153.556	86.027
cell_008	559.11	157.327	82.13
cell_009	580.795	156.681	90.261
cell_010	605.852	161.117	91.151
cell_011	615.942	163.896	88.632
cell_012	622.119	161.969	89.613
cell_013	679.008	165.833	89.654
cell_014	702.091	171.286	93.076
cell_015	722.934	173.625	93.457
cell_016	433.169	130.851	75.548
cell_017	421.723	132.542	75.84
cell_018	412.151	127.003	73.35
cell_019	393.322	128.624	78.339
cell_020	375.728	134.324	73.831
cell_021	384.603	126.447	75.719
cell_022	369.135	134.219	72.573
cell_023	364.459	135.427	61.72
cell_024	367.781	119.676	36.312
cell_025	360.436	120.804	87.683
cell_026	351.957	128.444	73.552
cell_027	357.15	120.077	76.293
cell_028	335.334	123.112	79.471
cell_029	338.726	115.272	77.867
cell_030	326.264	118.513	85.303
cell_031	307.889	127.907	47.008
cell_032	310.634	104.524	47.185
cell_033	282.524	113.346	72.479
cell_034	274.994	102.874	74.086
cell_035	290.774	101.087	34.245
cell_036	275.543	111.531	26.463
cell_037	279.447	99.045	32.148
cell_038	262.352	98.209	72.004
cell_039	245.333	114.395	40.192
cell_040	238.272	112.951	45.428
cell_041	253.22	102.183	23.394
cell_042	238.552	102.609	23.998
cell_043	229.166	99.312	71.116
cell_044	236.387	94.356	27.166
cell_045	226.667	88.894	31.268
cell_046	225.508	91.533	71.049
cell_047	211.774	85.703	64.908
cell_048	213.087	92.203	69.418
cell_049	182.124	101.996	41.455
cell_050	203.458	75.676	45.523
cell_051	186.03	81.121	33.948
cell_052	176.765	81.883	66.794
cell_053	160.507	73.913	33.755
cell_054	129.892	88.095	48.473
cell_055	151.459	78.832	62.658
cell_056	148.683	69.834	35.495
cell_057	114.402	83.143	47.132
cell_058	108.995	68.602	66.866
cell_059	100.68	68.462	67.856
cell_060	87.051	76.943	49.268
cell_061	98.165	58.688	55.497
cell_062	108.081	61.779	34.356
cell_063	86.118	69.535	65.946
cell_064	66.216	76.203	51.367
cell_065	83.476	60.517	66.414
cell_066	76.015	72.949	21.449
cell_067	85.112	66.937	23.758
cell_068	63.91	53.645	33.631
cell_069	54.687	68.386	62.285
cell_070	44.051	73.008	51.963
cell_071	43.715	62.858	21.372
cell_072	42.154	64.06	54.654
cell_073	38.626	58.963	50.763
cell_074	325.792	115.931	80.038
cell_075	134.098	78.067	62.545
cell_076	125.309	80.528	55.813
cell_077	99.931	83.056	34.388
cell_078	98	80.507	46.267
cell_079	49.218	54.015	34.616
cell_080	56.308	54.287	32.404
cell_081	74.272	80.335	35.816
cell_082	68.006	58.627	66.195
cell_083	58.667	57.087	60.683
cell_084	632.91	166.465	81.403
cell_085	631.917	162.06	87.332
cell_086	647.453	162.071	88.354
cell_087	541.031	152.106	90.695
