ID	cell_001	cell_002	cell_003	cell_004	cell_005	cell_006	cell_007	cell_008	cell_009	cell_010	cell_011	cell_012	cell_013	cell_014	cell_015	cell_016	cell_017	cell_018	cell_019	cell_020	cell_021	cell_022	cell_023	cell_024	cell_025	cell_026	cell_027	cell_028	cell_029	cell_030	cell_031	cell_032	cell_033	cell_034	cell_035	cell_036	cell_037	cell_038	cell_039	cell_040	cell_041	cell_042	cell_043	cell_044	cell_045	cell_046	cell_047	cell_048	cell_049	cell_050	cell_051	cell_052	cell_053	cell_054	cell_055	cell_056	cell_057	cell_058	cell_059	cell_060	cell_061	cell_062	cell_063	cell_064	cell_065	cell_066	cell_067	cell_068	cell_069	cell_070	cell_071	cell_072	cell_073	cell_074	cell_075	cell_076	cell_077	cell_078	cell_079	cell_080	cell_081	cell_082	cell_083	cell_084	cell_085	cell_086	cell_087	cell_088	cell_089	cell_090	cell_091	cell_092	cell_093	cell_094	cell_095	cell_096	cell_097	cell_098
2-R phox2bb  CH4	1032	2096	913	1260	939	1691	1077	3272	1342	1485	1581	1824	1006	1375	2198	621	2377	1469	2328	827	1505	1919	2076	2041	1774	2113	1123	1191	2177	2281	2133	2038	1789	928	750	1032	2078	759	1175	1687	1814	646	2327	625	536	420	634	992	832	520	1228	571	689	2412	1384	662	846	1858	1347	1546	905	886	730	1062	1727	1804	1463	1302	1803	341	939	1877	1169	891	2335	1172	905	715	1116	1169	1650	574	560	1798	1027	1759	1458	1932	2605	2556	1494	1602	1879	1483	1294	1241	1104	1801
2-R etv1 CH5	284	425	1592	1460	1247	1212	1569	2844	1502	382	1078	2665	482	2220	2110	618	2346	1726	1547	1183	1823	1737	1575	1930	1829	3755	1124	902	1118	1300	2207	456	560	435	1087	333	1657	984	559	1857	2397	805	1297	722	579	689	1219	764	1055	1028	728	657	698	1125	1267	778	822	1248	424	1997	427	927	1176	287	2265	419	1948	1373	2108	714	350	1813	1150	2005	1879	1432	1566	1009	1592	470	427	1112	1188	1454	1197	491	1507	1989	1581	1353	1474	1530	2713	1248	3297	1663	1323	980
2-R oprd1b CH6	187	173	185	132	109	125	91	172	90	162	116	146	126	139	116	124	169	112	109	151	128	103	111	150	125	135	120	108	154	99	131	94	112	121	112	125	176	149	132	122	232	207	127	156	177	127	232	129	128	107	130	87	103	123	112	115	134	123	121	127	141	139	167	93	118	90	128	95	159	119	85	139	182	189	208	204	213	171	226	138	135	115	140	135	129	176	209	162	179	250	91	120	117	145	351	177	155	118
1-R vipb CH1	475	628	710	1659	539	503	540	916	857	416	1877	2215	372	666	1147	0	2192	478	427	785	465	441	505	449	818	591	385	335	496	434	655	471	525	610	1163	487	833	410	359	491	956	344	420	725	2801	258	801	476	576	379	450	282	380	449	501	678	432	459	529	511	992	980	379	586	1729	540	843	388	1520	574	325	1163	1341	565	561	717	574	650	1257	662	681	617	602	2094	1932	385	1333	424	970	739	369	433	568	1040	2052	1138	925	713
1-R nos1 CH2	239	290	353	586	390	463	954	1194	645	576	282	1637	256	586	1915	0	1692	495	497	664	747	257	408	424	396	282	765	320	333	791	743	165	244	183	243	208	1085	306	324	567	1241	219	384	942	254	189	869	282	271	169	208	171	151	257	271	198	299	473	411	566	344	404	280	223	1280	260	292	286	1507	458	166	759	1072	269	782	352	533	555	969	287	302	291	251	2650	1050	204	1214	244	335	608	425	596	1199	784	1800	489	903	510
1-R ret  CH3	331	331	363	153	154	215	165	399	202	243	122	340	201	343	496	0	321	170	312	251	248	174	307	386	155	504	329	230	346	445	402	91	371	140	184	177	413	176	325	218	366	260	245	174	268	108	277	109	150	128	157	115	136	182	227	165	210	236	200	249	161	229	173	113	200	206	205	113	298	218	86	145	278	194	303	199	269	259	299	281	170	148	168	385	315	398	386	419	294	429	253	342	345	184	410	301	386	246
3-R hoxa4a CH7	639	1628	690	1050	694	814	1519	995	1145	1388	1118	1394	794	1080	1667	0	1098	725	917	1114	1129	1342	769	1756	1560	1870	892	1006	1427	918	1905	1141	1459	1207	1677	489	724	1074	477	1861	767	704	885	553	544	247	383	1006	603	485	482	254	278	730	774	311	620	1067	703	2068	607	771	491	390	1211	1068	732	706	1834	306	422	1282	772	891	1126	1187	927	445	379	532	769	479	909	994	747	559	814	1338	2595	1011	958	1233	1850	729	1351	992	778	1117
3-R hoxb5b CH8	539	1457	848	1198	1236	940	1173	1442	1531	794	1234	1311	1378	1316	733	0	1135	1440	1350	563	1055	1482	1679	1844	1061	1483	1003	560	1317	992	1341	1251	1063	650	1402	971	1037	1870	973	1784	636	999	1352	716	1269	491	504	962	844	551	974	386	603	1433	1119	747	1180	1218	1038	824	294	1043	1220	293	1094	939	1142	955	1829	417	677	1075	1135	1412	1068	1343	1112	699	787	793	1113	694	861	1007	851	844	1234	1782	1542	1732	1114	1043	1274	721	1433	1193	1343	1457
3-R hoxa5a CH9	254	292	357	202	200	359	176	319	124	202	178	359	225	475	151	0	382	246	393	284	351	234	418	442	233	608	364	234	383	464	657	159	367	317	265	122	306	328	265	357	273	306	199	252	206	197	262	223	169	165	112	94	126	201	279	191	240	217	217	291	118	205	440	80	148	164	507	112	408	247	97	207	233	497	380	247	286	260	310	217	378	280	270	273	226	229	325	389	405	349	224	289	414	171	319	319	313	359
4-R calb2a CH10	344	352	463	413	552	476	312	515	517	457	413	502	335	477	392	342	540	451	469	371	352	474	673	558	963	439	518	398	550	601	627	409	452	863	435	468	381	369	341	631	552	379	432	350	714	389	364	541	613	464	617	240	251	421	404	280	310	388	380	392	614	773	416	387	802	426	655	302	966	253	309	727	479	840	526	480	833	521	418	479	522	436	466	748	757	312	501	432	391	443	361	659	335	704	504	936	576	1127
4-R elavl3 CH11	414	470	567	774	516	508	1246	843	528	345	335	732	272	515	655	344	826	883	563	646	492	597	749	611	744	715	582	581	537	600	527	410	349	251	407	293	552	605	331	673	528	491	446	241	334	270	498	361	531	237	281	275	331	759	865	441	648	691	937	629	327	659	466	392	729	355	552	643	821	234	211	708	588	661	707	572	483	335	461	432	699	487	453	709	676	472	539	731	658	736	546	826	655	507	827	747	558	677
4-R vgf CH12	210	217	288	146	114	193	271	529	225	140	128	799	116	380	295	258	605	154	340	304	289	148	397	323	158	216	229	180	327	174	329	138	152	282	266	150	571	166	153	243	504	334	165	365	138	251	730	180	252	187	111	223	130	134	118	144	90	129	98	134	121	122	204	90	200	114	292	130	355	360	97	138	385	355	347	283	318	547	692	150	155	279	191	346	282	172	813	445	472	529	280	189	210	511	768	341	412	250
