ID	cell_001	cell_002	cell_003	cell_004	cell_005	cell_006	cell_007	cell_008	cell_009	cell_010	cell_011	cell_012	cell_013	cell_014	cell_015	cell_016	cell_017	cell_018	cell_019	cell_020	cell_021	cell_022	cell_023	cell_024	cell_025	cell_026	cell_027	cell_028	cell_029	cell_030	cell_031	cell_032	cell_033	cell_034	cell_035	cell_036	cell_037	cell_038	cell_039	cell_040	cell_041	cell_042	cell_043	cell_044	cell_045	cell_046	cell_047	cell_048	cell_049	cell_050	cell_051	cell_052	cell_053	cell_054	cell_055	cell_056	cell_057	cell_058	cell_059	cell_060	cell_061	cell_062	cell_063	cell_064	cell_065	cell_066	cell_067	cell_068	cell_069	cell_070	cell_071	cell_072	cell_073	cell_074	cell_075	cell_076	cell_077	cell_078	cell_079	cell_080	cell_081	cell_082	cell_083	cell_084	cell_085	cell_086	cell_087	cell_088	cell_089	cell_090	cell_091	cell_092	cell_093	cell_094	cell_095	cell_096	cell_097	cell_098	cell_099	cell_100	cell_101	cell_102	cell_103	cell_104	cell_105	cell_106	cell_107	cell_108	cell_109	cell_110	cell_111	cell_112	cell_113	cell_114	cell_115	cell_116	cell_117	cell_118	cell_119	cell_120
2-R phox2bb  CH4	2991	2689	2824	871	1069	1217	2109	1841	1074	1067	948	2380	896	3010	2311	1500	2846	1838	2094	2538	2870	1888	810	727	701	1690	953	1893	1268	2398	1336	770	887	753	974	815	1234	1818	1970	1396	2537	2337	3069	2658	711	853	1858	2242	2071	1532	779	2544	1756	1469	1199	1956	770	813	1874	1874	3423	865	2435	727	1095	2314	2366	872	2217	1248	1864	520	599	957	1678	1856	1646	1782	2218	531	1058	3222	911	1213	280	730	1489	676	1160	433	2416	1107	1179	1333	1789	1050	1110	1777	2118	524	555	1713	1529	566	1664	1120	1849	2372	1691	2253	1718	1261	2004	2055	2345	1853	2752	2266	2331	2699
2-R etv1 CH5	3066	719	1009	700	925	914	2477	2117	1200	1643	1587	1829	1150	1438	1631	599	2239	1258	2394	936	860	395	1124	1234	813	2681	1117	1806	1653	2398	2329	1322	1266	2054	829	664	815	1679	2806	1014	3150	2421	1748	1721	990	1018	1954	1489	1518	1616	856	2817	2951	2397	964	4094	1278	1043	727	1223	254	1215	741	1298	1341	1341	2184	1614	2122	1842	229	926	932	1013	3168	1564	1108	468	2619	747	616	3307	1424	1420	1207	1026	2279	1368	996	788	2540	1562	1480	1261	2526	1122	1091	3071	2774	617	1363	378	2412	867	2036	1120	2391	1937	2141	3395	2166	707	1849	1250	1724	1728	1765	3033	2813	2898
2-R oprd1b CH6	214	124	126	111	135	117	219	175	115	154	223	135	156	153	123	94	115	136	378	120	120	98	133	108	282	209	193	135	121	142	165	88	133	79	139	98	118	152	389	280	142	161	123	128	116	237	293	151	341	202	162	214	307	485	115	497	98	191	119	90	103	106	94	191	125	210	137	75	187	108	142	96	131	124	211	112	126	96	312	143	111	155	191	264	105	96	181	177	126	205	164	86	98	156	168	164	133	165	221	197	273	125	186	133	137	177	205	194	251	171	152	94	255	160	130	144	148	287	342	213
1-R vipb CH1	2433	524	373	303	385	463	1036	1055	348	406	518	1335	429	404	1226	412	743	680	902	576	361	0	1179	441	774	1983	1285	539	1039	1968	1326	257	329	216	351	272	314	977	3398	387	2540	1324	331	385	366	1780	609	502	566	376	744	655	1628	1739	0	2304	0	343	432	0	387	299	0	694	334	416	340	339	825	487	1038	258	396	658	1108	519	442	287	1157	533	464	748	1309	990	354	365	543	433	534	500	1459	1762	1005	537	936	466	475	1669	828	510	373	458	535	508	2258	871	1784	589	432	761	1176	352	406	762	1557	2579	1396	478	1538	426
1-R nos1 CH2	2022	217	312	275	386	382	789	708	201	336	968	880	473	284	719	262	563	324	1147	492	268	0	613	396	480	669	891	388	797	1865	980	439	362	194	278	169	175	662	2034	195	1658	879	204	256	252	665	573	280	295	241	798	391	937	1067	0	1365	0	547	400	0	183	215	0	663	164	408	647	153	403	202	228	194	473	296	792	194	193	144	1007	297	201	1384	997	1210	198	250	298	420	288	523	815	710	844	467	471	206	297	980	686	298	221	200	377	351	877	345	837	842	288	486	509	257	185	168	734	995	386	464	697	263
1-R ret  CH3	403	270	160	210	633	208	287	370	276	176	484	243	339	297	197	228	213	387	334	383	180	0	313	193	333	236	281	141	237	216	355	84	355	82	235	178	114	225	451	259	387	281	217	196	222	332	238	267	193	206	293	230	205	524	0	395	0	237	323	0	212	248	0	335	98	213	113	82	172	135	335	111	214	154	198	233	111	105	343	224	127	198	320	359	160	176	143	218	166	255	214	150	160	219	206	158	205	326	237	233	142	339	141	143	198	226	266	287	276	208	181	148	210	112	178	260	244	365	309	151
3-R hoxa4a CH7	946	316	139	85	92	401	2204	423	129	325	106	762	171	158	700	328	808	423	723	493	674	256	213	263	124	339	89	343	363	752	233	333	131	567	431	405	1013	620	612	242	638	662	519	306	210	230	425	459	809	375	198	829	675	484	318	518	307	171	254	204	462	217	307	158	506	1395	635	211	789	612	262	105	170	283	991	677	452	689	471	107	245	828	166	328	288	227	555	122	141	97	489	349	375	239	843	618	126	480	616	105	161	358	606	170	618	495	619	808	727	1223	484	231	963	554	520	624	287	871	753	500
3-R hoxb5b CH8	495	494	159	72	169	410	450	417	147	144	224	602	237	181	381	377	378	312	423	405	207	404	204	162	129	283	86	266	162	420	256	190	179	393	236	306	543	547	622	517	506	463	644	531	254	245	673	803	945	392	180	659	500	330	501	531	411	218	393	504	531	265	405	308	409	543	586	271	912	548	395	223	169	239	607	568	375	541	301	128	250	674	216	222	164	264	583	182	234	139	510	248	309	236	680	204	206	400	523	174	185	364	318	144	316	333	390	346	580	567	538	285	573	485	637	831	233	401	310	514
3-R hoxa5a CH9	208	281	108	68	93	148	229	222	123	238	162	333	154	127	134	218	358	206	277	165	88	100	193	120	82	265	114	142	119	289	108	104	134	103	313	181	212	175	291	145	328	223	244	200	141	184	193	253	352	209	133	253	233	205	213	293	239	194	201	120	193	244	172	206	157	150	158	106	152	105	241	81	194	123	185	114	89	130	159	119	79	172	146	135	86	75	137	109	119	95	166	73	76	123	139	86	93	120	208	116	116	108	181	99	156	179	171	178	120	158	160	69	167	119	162	149	141	148	252	162
4-R calb2a CH10	415	426	306	177	206	225	511	483	245	275	226	315	216	269	258	210	422	315	325	269	290	260	223	255	228	274	231	289	303	292	284	204	198	182	249	213	223	255	337	221	314	262	290	346	266	248	277	401	382	257	284	252	708	377	242	868	277	240	381	260	327	301	249	227	320	409	520	234	366	327	517	272	198	340	347	264	264	271	650	207	280	359	480	485	386	278	522	290	447	190	565	340	443	304	435	333	398	494	671	243	654	324	360	293	375	500	567	379	449	605	469	308	350	276	499	606	265	325	300	281
